scenario,node,ate_climate_behavior
combo_0,belief_concern,0.20591026949349608
combo_0,harm_present,0.19509216920542446
combo_0,weather_risk_prep,0.09278837020557869
combo_0,social_norms,0.05707268958172875
combo_0,trust_science,0.03418629493029547
combo_0,policy_support,0.016197109274078195
combo_1,belief_concern,0.20688129489808216
combo_1,harm_present,0.19509216920543151
combo_1,weather_risk_prep,0.09278837020558323
combo_1,social_norms,0.05707268958173189
combo_1,trust_science,0.034186294930294854
combo_1,policy_support,0.016197109274078313
combo_2,belief_concern,0.20127217698605832
combo_2,harm_present,0.18696492034768097
combo_2,weather_risk_prep,0.09307604623294308
combo_2,social_norms,0.06336550965362983
combo_2,trust_science,0.043699946458065346
combo_2,policy_support,0
combo_3,belief_concern,0.2012724384616436
combo_3,harm_present,0.18696533596241732
combo_3,weather_risk_prep,0.09307599917842607
combo_3,social_norms,0.06336526342848364
combo_3,trust_science,0.0436997792836055
combo_3,policy_support,0
combo_4,belief_concern,0.20196407824164808
combo_4,harm_present,0.22872973552486928
combo_4,weather_risk_prep,0.09737009269989931
combo_4,social_norms,0
combo_4,trust_science,0
combo_4,policy_support,0
combo_5,belief_concern,0.20196407824165624
combo_5,harm_present,0.22872973552487957
combo_5,weather_risk_prep,0.09737009269990317
combo_5,social_norms,0
combo_5,trust_science,0
combo_5,policy_support,0
combo_6,belief_concern,0.20196407824164808
combo_6,harm_present,0.22872973552486928
combo_6,weather_risk_prep,0.09737009269989931
combo_6,social_norms,0
combo_6,trust_science,0
combo_6,policy_support,0
combo_7,belief_concern,0.20196407824164808
combo_7,harm_present,0.22872973552486928
combo_7,weather_risk_prep,0.09737009269989931
combo_7,social_norms,0
combo_7,trust_science,0
combo_7,policy_support,0
combo_8,belief_concern,0.20591026949350807
combo_8,harm_present,0.19966042944076468
combo_8,weather_risk_prep,0.09278837020558323
combo_8,social_norms,0.05707268958173188
combo_8,trust_science,0.03418629493029485
combo_8,policy_support,0.016197109274078313
combo_9,belief_concern,0.2068812948980697
combo_9,harm_present,0.19966042944075496
combo_9,weather_risk_prep,0.09278837020557713
combo_9,social_norms,0.0570726895817293
combo_9,trust_science,0.03418629493029271
combo_9,policy_support,0.016197109274078466
combo_10,belief_concern,0.20127223835607633
combo_10,harm_present,0.1928045731420714
combo_10,weather_risk_prep,0.09307603254145466
combo_10,social_norms,0.06336542274063989
combo_10,trust_science,0.043699883914242045
combo_10,policy_support,0
combo_11,belief_concern,0.20127213977287306
combo_11,harm_present,0.19280412098748453
combo_11,weather_risk_prep,0.09307601353585046
combo_11,social_norms,0.06336593401295038
combo_11,trust_science,0.043700257456613385
combo_11,policy_support,0
combo_12,belief_concern,0.20196407824164808
combo_12,harm_present,0.22872973552486928
combo_12,weather_risk_prep,0.09737009269989931
combo_12,social_norms,0
combo_12,trust_science,0
combo_12,policy_support,0
combo_13,belief_concern,0.20196407824164808
combo_13,harm_present,0.22872973552486928
combo_13,weather_risk_prep,0.09737009269989931
combo_13,social_norms,0
combo_13,trust_science,0
combo_13,policy_support,0
combo_14,belief_concern,0.20196407824164808
combo_14,harm_present,0.22872973552486928
combo_14,weather_risk_prep,0.09737009269989931
combo_14,social_norms,0
combo_14,trust_science,0
combo_14,policy_support,0
combo_15,belief_concern,0.20196407824165816
combo_15,harm_present,0.2287297355248824
combo_15,weather_risk_prep,0.09737009269990378
combo_15,social_norms,0
combo_15,trust_science,0
combo_15,policy_support,0
